Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
1597466404,"May 26, 2018, 3:19:25 PM",Saturday long run,Run,High Park and rail trail circuit,3207,10.80,,false,,,77.0999984741211,,3207.0,3207.0,10800.0,,,,,,,,0.0,,,,,,,,,1023.0972900390625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604837630,"May 29, 2018, 11:47:54 PM",Evening run,Run,"",1342,4.70,,false,,,77.0999984741211,,1342.0,1342.0,4700.0,,,,,,,,0.0,,,,,,,,,445.2367858886719,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613086689,"Jun 2, 2018, 9:06:08 PM",Saturday ride,Ride,,3561,21.82,,false,,activities/1613086689.gpx,77.0999984741211,,3561.0,3234.0,21822.0,12.0,,99.02388763427734,,72.5999984741211,122.0,11.699999809265137,0.002291265642270446,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624137579,"Jun 7, 2018, 10:56:32 PM",Ride to vote,Ride,,1827,12.03,,false,,activities/1624137579.gpx,77.0999984741211,,1827.0,1710.0,12030.2001953125,10.600000381469727,,49.97932434082031,,72.5999984741211,106.0,11.600000381469727,0.08728034794330597,,,,,,,,132.17710876464844,252.01527404785156,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624224424,"Jun 8, 2018, 12:06:06 AM",Ride home,Ride,,1653,12.05,,false,,activities/1624224424.gpx,77.0999984741211,,1653.0,1574.0,12051.7001953125,13.199999809265137,,38.57126998901367,,72.5999984741211,106.0,4.900000095367432,-0.08629488199949265,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630111309,"Jun 10, 2018, 4:05:53 PM",Morning run in Muskoka,Run,Hills!,2586,9.20,,false,,,77.0999984741211,,2586.0,2586.0,9200.0,,,,,,,,0.0,,,,,,,,,871.5272827148438,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630112808,"Jun 9, 2018, 12:54:27 PM",Morning Ride,Ride,,11674,53.07,,false,,activities/1751819558.fit.gz,77.0999984741211,,11674.0,9676.0,53070.80078125,13.199999809265137,,574.5880126953125,,224.6999969482422,279.0,37.5,0.001695847837254405,,,,,,,,,1004.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630819284,"Jun 10, 2018, 8:50:56 PM",Afternoon Ride,Ride,,3005,23.07,,false,,activities/1752557703.fit.gz,77.0999984741211,,3005.0,2909.0,23070.80078125,17.600000381469727,,302.7200012207031,,228.8000030517578,275.0,16.0,0.16167622804641724,,,,,,,,,596.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635767464,"Jun 13, 2018, 11:49:11 AM",Morning Run,Run,"",1372,5.00,,false,,,77.0999984741211,,1372.0,1372.0,5000.0,,,,,,,,0.0,,,,,,,,,473.6561279296875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660178552,"Jun 24, 2018, 7:30:52 PM",Cedarvale Ravine,Run,Cool rainy day = PB for 10K in 2018,2796,10.00,,false,,,77.0999984741211,,2796.0,2796.0,10000.0,,,,,,,,0.0,,,,,,,,,947.312255859375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718987912,"Jul 21, 2018, 12:29:03 PM",Morning Ride,Ride,Saturday morning ride along the lake,13173,64.79,,false,,activities/1718987912.gpx,77.0999984741211,,13173.0,10351.0,64791.1015625,11.699999809265137,,126.28226470947266,,71.30000305175781,95.19999694824219,10.699999809265137,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728132384,"Jul 25, 2018, 11:14:50 PM",Evening Ride,Ride,,7041,44.26,,false,,activities/1728132384.gpx,77.0999984741211,,7041.0,6081.0,44262.0,14.0,,241.6744842529297,,70.80000305175781,141.3000030517578,27.899999618530273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733646373,"Jul 28, 2018, 2:32:56 PM",Humber ride,Ride,,6688,44.64,,false,,activities/1733646373.gpx,77.0999984741211,,6688.0,6023.0,44646.69921875,13.899999618530273,,201.21939086914062,,72.5999984741211,122.5,24.399999618530273,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736477990,"Jul 29, 2018, 6:52:16 PM",SW Ontario Open Water Swimfest,Swim,1500m race @Gulliver's Lake,1630,"1,500",,false,,,,,1630.0,1630.0,1500.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738951604,"Jul 30, 2018, 11:27:38 PM",One step closer to recovery,Run,Run/Walk intervals at Central Tech track,2520,7.00,,false,,,77.0999984741211,,2520.0,2520.0,7000.0,,,,,,,,0.0,,,,,,,,,663.1185913085938,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741339218,"Jul 31, 2018, 11:03:50 PM",High Park Hills,Ride,,5139,32.66,,false,,activities/1741339218.gpx,77.0999984741211,,5139.0,4942.0,32663.69921875,14.199999809265137,,231.8623809814453,,72.5999984741211,106.5999984741211,13.699999809265137,0.0,,,,,,,,122.14400482177734,673.0537719726562,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1746029396,"Aug 3, 2018, 12:19:37 AM",Run/Walk intervals,Run,Hip still not feeling too great...,2400,6.50,,false,,,77.0999984741211,,2400.0,2400.0,6500.0,,,,,,,,0.0,,,,,,,,,615.7529907226562,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1747799101,"Aug 3, 2018, 9:15:01 PM",Royal York Rip,Ride,,5648,41.47,,false,,activities/1747799101.gpx,77.0999984741211,,5648.0,5261.0,41477.5,14.800000190734863,,113.62393188476562,,72.5999984741211,142.10000610351562,40.0,-0.04846000671386719,,,,,,,,151.03765869140625,885.9911499023438,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750235819,"Aug 4, 2018, 10:30:14 PM",Casual Lake swim,Swim,"",1200,"1,000",,false,,,,,1200.0,1200.0,1000.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752105048,"Aug 5, 2018, 5:15:05 PM",Afternoon Swim,Swim,"",1320,"1,200",,false,,,,,1320.0,1320.0,1200.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754050980,"Aug 6, 2018, 3:48:40 PM",Lunch Run,Run,"",1319,3.90,,false,,,77.0999984741211,,1319.0,1319.0,3900.0,,,,,,,,0.0,,,,,,,,,369.4517822265625,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
