year,city,local,year,global
1917,Toronto,3.91,1917,8.02
1918,Toronto,5.57,1918,8.13
1919,Toronto,6.54,1919,8.38
1920,Toronto,5.24,1920,8.36
1921,Toronto,7.75,1921,8.57
1922,Toronto,6.50,1922,8.41
1923,Toronto,5.49,1923,8.42
1924,Toronto,4.86,1924,8.51
1925,Toronto,5.63,1925,8.53
1926,Toronto,4.34,1926,8.73
1927,Toronto,6.10,1927,8.52
1928,Toronto,5.86,1928,8.63
1929,Toronto,5.47,1929,8.24
1930,Toronto,6.44,1930,8.63
1931,Toronto,7.56,1931,8.72
1932,Toronto,6.62,1932,8.71
1933,Toronto,6.66,1933,8.34
1934,Toronto,5.44,1934,8.63
1935,Toronto,5.60,1935,8.52
1936,Toronto,5.55,1936,8.55
1937,Toronto,6.32,1937,8.70
1938,Toronto,6.91,1938,8.86
1939,Toronto,6.14,1939,8.76
1940,Toronto,5.06,1940,8.76
1941,Toronto,6.68,1941,8.77
1942,Toronto,6.26,1942,8.73
1943,Toronto,5.19,1943,8.76
1944,Toronto,6.49,1944,8.85
1945,Toronto,5.90,1945,8.58
1946,Toronto,6.90,1946,8.68
1947,Toronto,6.18,1947,8.80
1948,Toronto,6.38,1948,8.75
1949,Toronto,7.31,1949,8.59
1950,Toronto,5.64,1950,8.37
1951,Toronto,6.26,1951,8.63
1952,Toronto,7.01,1952,8.64
1953,Toronto,7.51,1953,8.87
1954,Toronto,6.24,1954,8.56
1955,Toronto,6.97,1955,8.63
1956,Toronto,5.75,1956,8.28
1957,Toronto,6.42,1957,8.73
1958,Toronto,5.62,1958,8.77
1959,Toronto,6.40,1959,8.73
1960,Toronto,5.90,1960,8.58
1961,Toronto,6.46,1961,8.80
1962,Toronto,5.89,1962,8.75
1963,Toronto,5.49,1963,8.86
1964,Toronto,6.50,1964,8.41
1965,Toronto,5.59,1965,8.53
1966,Toronto,6.03,1966,8.60
1967,Toronto,5.66,1967,8.70
1968,Toronto,6.11,1968,8.52
1969,Toronto,6.03,1969,8.60
1970,Toronto,5.98,1970,8.70
1971,Toronto,6.37,1971,8.60
1972,Toronto,5.22,1972,8.50
1973,Toronto,7.23,1973,8.95
1974,Toronto,6.01,1974,8.47
1975,Toronto,6.75,1975,8.74
1976,Toronto,5.47,1976,8.35
1977,Toronto,6.19,1977,8.85
1978,Toronto,5.24,1978,8.69
1979,Toronto,5.90,1979,8.73
1980,Toronto,5.48,1980,8.98
1981,Toronto,6.16,1981,9.17
1982,Toronto,6.04,1982,8.64
1983,Toronto,6.78,1983,9.03
1984,Toronto,6.42,1984,8.69
1985,Toronto,6.13,1985,8.66
1986,Toronto,6.56,1986,8.83
1987,Toronto,7.46,1987,8.99
1988,Toronto,6.56,1988,9.20
1989,Toronto,5.70,1989,8.92
1990,Toronto,7.41,1990,9.23
1991,Toronto,7.55,1991,9.18
1992,Toronto,5.79,1992,8.84
1993,Toronto,5.87,1993,8.87
1994,Toronto,5.95,1994,9.04
1995,Toronto,6.38,1995,9.35
1996,Toronto,5.81,1996,9.04
1997,Toronto,6.00,1997,9.20
1998,Toronto,8.54,1998,9.52
1999,Toronto,7.75,1999,9.29
2000,Toronto,6.67,2000,9.20
2001,Toronto,7.76,2001,9.41
2002,Toronto,7.48,2002,9.57
2003,Toronto,6.02,2003,9.53
2004,Toronto,6.40,2004,9.32
2005,Toronto,7.22,2005,9.70
2006,Toronto,7.85,2006,9.53
2007,Toronto,7.07,2007,9.73
2008,Toronto,6.58,2008,9.43
2009,Toronto,6.28,2009,9.51
2010,Toronto,7.77,2010,9.70
2011,Toronto,7.30,2011,9.52
2012,Toronto,8.66,2012,9.51
2013,Toronto,8.46,2013,9.61
